"NUMBER","TYPE","CustomerComplaint 3.5","CustomerComplaint 4","CustomerComplaint 4o","summary"
"P01","CRITICAL","","","",0
"P02","MINOR","","","",0
"P03","CRITICAL","","","",0
"P04","MINOR","1","1","1",3
"P05","CRITICAL","","","",0
"P06","CRITICAL","","","",0
"P07","MINOR","","1","",1
"P08","MINOR","1","1","1",3
"P09","MINOR","","","",0
"P10","IMPORTANT","1","1","1",3
"P11","IMPORTANT","","1","",1
"P12","IMPORTANT","","","",0
"P13","MINOR","1","1","1",3
"P14","CRITICAL","","","",0
"P15","CRITICAL","","","",0
"P16","CRITICAL","","","",0
"P17","IMPORTANT","","","",0
"P18","IMPORTANT","","","",0
"P19","CRITICAL","","","",0
"P20","MINOR","","","",0
"P21","MINOR","","","",0
"P22","MINOR","1","1","1",3
"P23","IMPORTANT","","","",0
"P24","IMPORTANT","","","",0
"P25","IMPORTANT","","","",0
"P26","IMPORTANT","","","",0
"P27","CRITICAL","","","",0
"P28","CRITICAL","","","",0
"P29","CRITICAL","","","",0
"P30","IMPORTANT","","","",0
"P31","CRITICAL","","","",0
"P32","MINOR","","","",0
"P33","MINOR","","","",0
"P34","IMPORTANT","","","",0
"P35","IMPORTANT","","","",0
"P36","MINOR","","","",0
"P37","CRITICAL","","","",0
"P38","IMPORTANT","1","1","1",3
"P39","CRITICAL","","","",0
"P40","CRITICAL","","","",0
"P41","IMPORTANT","","","",0
"","TOTAL","6","8","6",20
"","CRITICAL","0","0","0",0
"","IMPORTANT","2","3","2",7
"","MINOR","4","5","4",13
