"NUMBER","TYPE","AirlinesCustomerSatisfaction GPT-3.5","AirlinesCustomerSatisfaction GPT-4","AirlinesCustomerSatisfaction GPT-4o","AirlinesCustomerSatisfaction llama-2-13b-4bits","AirlinesCustomerSatisfaction llama-2-70b-4bits","AirlinesCustomerSatisfaction llama-3-70b-4bits","AirlinesCustomerSatisfaction llama-3-8b","AirlinesCustomerSatisfaction llama-3-8b-8bits","AirlinesCustomerSatisfaction mixtral-8-7b","summary"
"P01","CRITICAL","","","","","","","","","",0
"P02","MINOR","","","","","","","","","",0
"P03","CRITICAL","","","","","","","","","",0
"P04","MINOR","","1","","","1","1","1","","",4
"P05","CRITICAL","","","","","","","","","",0
"P06","CRITICAL","","","","","","","","","",0
"P07","MINOR","","","1","","","","1","","",2
"P08","MINOR","1","1","1","1","1","1","1","1","1",9
"P09","MINOR","","","","","","","","","",0
"P10","IMPORTANT","1","1","1","","1","1","1","","1",7
"P11","IMPORTANT","","","","1","","","","","",1
"P12","IMPORTANT","","","","","","","","","",0
"P13","MINOR","1","1","1","1","1","1","","1","1",8
"P14","CRITICAL","","","","","","","","","",0
"P15","CRITICAL","","","","","","","","","",0
"P16","CRITICAL","","","","","","","","","",0
"P17","IMPORTANT","","","","","","","","","",0
"P18","IMPORTANT","","","","","","","","","",0
"P19","CRITICAL","1","","","","","","","","",1
"P20","MINOR","","","","","","","","","",0
"P21","MINOR","","","","","","","","","",0
"P22","MINOR","1","","1","","1","1","1","","",5
"P23","IMPORTANT","","","","","","","","","",0
"P24","IMPORTANT","","","","","","","","","",0
"P25","IMPORTANT","","","","","","","","","",0
"P26","IMPORTANT","","","","","","","","","",0
"P27","CRITICAL","","","","","","","","","",0
"P28","CRITICAL","","","","","","","","","",0
"P29","CRITICAL","","","","","","","","","",0
"P30","IMPORTANT","","1","","","","","","","",1
"P31","CRITICAL","","","","","","","","","",0
"P32","MINOR","","","","","","","","","",0
"P33","MINOR","","","","","","","","","",0
"P34","IMPORTANT","","","","1","","","","","",1
"P35","IMPORTANT","","","","","","","","","",0
"P36","MINOR","","","","","","","","","",0
"P37","CRITICAL","","","","","","","","","",0
"P38","IMPORTANT","1","1","1","","1","1","1","1","1",8
"P39","CRITICAL","","","","","","","","","",0
"P40","CRITICAL","","","","","","","","","",0
"P41","IMPORTANT","","","","","","","","","",0
"","TOTAL","6","6","6","4","6","6","6","3","4",47
"","CRITICAL","1","0","0","0","0","0","0","0","0",1
"","IMPORTANT","2","3","2","2","2","2","2","1","2",18
"","MINOR","3","3","4","2","4","4","4","2","2",28
